Programa,Tempo,Comprimento,Threads
ConcQuicksort,0.000314,10,4
ConcQuicksort,0.000467,10,4
ConcQuicksort,0.000219,100,4
ConcQuicksort,0.000132,100,4
ConcQuicksort,0.000132,100,4
ConcQuicksort,0.000136,100,4
ConcQuicksort,0.000206,100,4
ConcQuicksort,7.673222,100000000,6
ConcQuicksort,7.852886,100000000,6
ConcQuicksort,7.673888,100000000,6
ConcQuicksort,7.728586,100000000,6
ConcQuicksort,7.890923,100000000,6
ConcQuicksort,0.687033,10000000,6
ConcQuicksort,0.685381,10000000,6
ConcQuicksort,0.686413,10000000,6
ConcQuicksort,0.674380,10000000,6
ConcQuicksort,0.686918,10000000,6
ConcQuicksort,0.000576,1000,6
ConcQuicksort,0.000370,1000,6
ConcQuicksort,0.000428,1000,6
ConcQuicksort,0.000377,1000,6
ConcQuicksort,0.000381,1000,6
ConcQuicksort,0.001281,10000,6
ConcQuicksort,0.001186,10000,6
ConcQuicksort,0.001531,10000,6
ConcQuicksort,0.001198,10000,6
ConcQuicksort,0.001513,10000,6
ConcQuicksort,0.007735,100000,6
ConcQuicksort,0.007704,100000,6
ConcQuicksort,0.007620,100000,6
ConcQuicksort,0.007278,100000,6
ConcQuicksort,0.007374,100000,6
ConcQuicksort,0.067031,1000000,6
ConcQuicksort,0.064551,1000000,6
ConcQuicksort,0.065810,1000000,6
ConcQuicksort,0.066916,1000000,6
ConcQuicksort,0.064997,1000000,6
ConcQuicksort,0.000296,10,6
ConcQuicksort,0.000487,10,6
ConcQuicksort,0.000226,10,6
ConcQuicksort,0.000626,10,6
ConcQuicksort,0.000262,10,6
ConcQuicksort,0.000233,100,6
ConcQuicksort,0.000293,100,6
ConcQuicksort,0.000211,100,6
ConcQuicksort,0.000205,100,6
ConcQuicksort,0.000502,100,6
ConcQuicksort,7.671465,100000000,8
ConcQuicksort,7.261656,100000000,8
ConcQuicksort,8.066936,100000000,8
ConcQuicksort,7.660961,100000000,8
ConcQuicksort,8.019927,100000000,8
ConcQuicksort,0.743746,10000000,8
ConcQuicksort,0.699593,10000000,8
ConcQuicksort,0.729228,10000000,8
ConcQuicksort,0.764485,10000000,8
ConcQuicksort,0.694589,10000000,8
ConcQuicksort,0.000775,1000,8
ConcQuicksort,0.000507,1000,8
ConcQuicksort,0.001520,1000,8
ConcQuicksort,0.000969,1000,8
ConcQuicksort,0.000308,1000,8
ConcQuicksort,0.001949,10000,8
ConcQuicksort,0.001703,10000,8
ConcQuicksort,0.002225,10000,8
ConcQuicksort,0.001551,10000,8
ConcQuicksort,0.001869,10000,8
ConcQuicksort,0.010922,100000,8
ConcQuicksort,0.010052,100000,8
ConcQuicksort,0.008935,100000,8
ConcQuicksort,0.012728,100000,8
ConcQuicksort,0.009001,100000,8
ConcQuicksort,0.070807,1000000,8
ConcQuicksort,0.071261,1000000,8
ConcQuicksort,0.072607,1000000,8
ConcQuicksort,0.067624,1000000,8
ConcQuicksort,0.067014,1000000,8
ConcQuicksort,0.001123,10,8
ConcQuicksort,0.000613,10,8
ConcQuicksort,0.000738,10,8
ConcQuicksort,0.000989,10,8
ConcQuicksort,0.000637,10,8
ConcQuicksort,0.000319,100,8
ConcQuicksort,0.000779,100,8
ConcQuicksort,0.000809,100,8
ConcQuicksort,0.000553,100,8
ConcQuicksort,0.000375,100,8
ConcQuicksort,8.605947,100000000,12
ConcQuicksort,8.851176,100000000,12
ConcQuicksort,8.111105,100000000,12
ConcQuicksort,8.712078,100000000,12
ConcQuicksort,8.774213,100000000,12
ConcQuicksort,0.802824,10000000,12
ConcQuicksort,0.797589,10000000,12
ConcQuicksort,0.774451,10000000,12
ConcQuicksort,0.816677,10000000,12
ConcQuicksort,0.820989,10000000,12
ConcQuicksort,0.001249,1000,12
ConcQuicksort,0.001040,1000,12
ConcQuicksort,0.001042,1000,12
ConcQuicksort,0.001084,1000,12
ConcQuicksort,0.001031,1000,12
ConcQuicksort,0.001817,10000,12
ConcQuicksort,0.001650,10000,12
ConcQuicksort,0.004385,10000,12
ConcQuicksort,0.002096,10000,12
ConcQuicksort,0.002890,10000,12
ConcQuicksort,0.010415,100000,12
ConcQuicksort,0.010929,100000,12
ConcQuicksort,0.009312,100000,12
ConcQuicksort,0.010980,100000,12
ConcQuicksort,0.011237,100000,12
ConcQuicksort,0.079918,1000000,12
ConcQuicksort,0.079935,1000000,12
ConcQuicksort,0.077391,1000000,12
ConcQuicksort,0.080811,1000000,12
ConcQuicksort,0.081582,1000000,12
ConcQuicksort,0.000529,10,12
ConcQuicksort,0.000718,10,12
ConcQuicksort,0.000561,10,12
ConcQuicksort,0.000566,10,12
ConcQuicksort,0.000517,10,12
ConcQuicksort,0.000967,100,12
ConcQuicksort,0.000859,100,12
ConcQuicksort,0.000807,100,12
ConcQuicksort,0.000749,100,12
ConcQuicksort,0.000648,100,12
